date,product_name,category,unit_price,quantity,sales_amount,customer_id
2024-01-12,小説,書籍,1500,3,4500,customer_069
2024-01-12,ビジネス書,書籍,1800,9,16200,customer_063
2024-01-13,ノート,文房具,300,3,900,customer_049
2024-01-13,マウス,電子機器,2000,9,18000,customer_036
2024-01-13,技術書,書籍,3500,6,21000,customer_074
2024-01-13,マウス,電子機器,2000,5,10000,customer_007
2024-01-14,キーボード,電子機器,5000,3,15000,customer_094
2024-01-14,ビジネス書,書籍,1800,10,18000,customer_096
2024-01-14,ノート,文房具,300,4,1200,customer_091
2024-01-14,ビジネス書,書籍,1800,8,14400,customer_031
2024-01-14,ボールペン,文房具,150,1,150,customer_050
2024-01-15,ボールペン,文房具,150,6,900,customer_059
2024-01-15,キーボード,電子機器,5000,3,15000,customer_022
2024-01-15,ノートパソコン,電子機器,80000,10,800000,customer_088
2024-01-15,ノート,文房具,300,3,900,customer_062
2024-01-15,ファイル,文房具,500,9,4500,customer_067
2024-01-16,ビジネス書,書籍,1800,3,5400,customer_006
2024-01-16,ノート,文房具,300,7,2100,customer_039
2024-01-16,キーボード,電子機器,5000,7,35000,customer_071
2024-01-17,技術書,書籍,3500,5,17500,customer_059
2024-01-17,小説,書籍,1500,7,10500,customer_010
2024-01-17,ノートパソコン,電子機器,80000,7,560000,customer_031
2024-01-18,ファイル,文房具,500,3,1500,customer_077
2024-01-18,ノートパソコン,電子機器,80000,8,640000,customer_088
2024-01-18,技術書,書籍,3500,4,14000,customer_063
2024-01-18,ノート,文房具,300,1,300,customer_071
2024-01-18,ファイル,文房具,500,8,4000,customer_047
2024-01-19,ビジネス書,書籍,1800,10,18000,customer_068
2024-01-19,キーボード,電子機器,5000,2,10000,customer_007
2024-01-19,ノート,文房具,300,10,3000,customer_036
2024-01-19,ノートパソコン,電子機器,80000,9,720000,customer_061
2024-01-20,マウス,電子機器,2000,6,12000,customer_093
2024-01-20,小説,書籍,1500,4,6000,customer_055
2024-01-20,ノートパソコン,電子機器,80000,9,720000,customer_092
2024-01-20,ノートパソコン,電子機器,80000,1,80000,customer_018
2024-01-20,小説,書籍,1500,2,3000,customer_010
2024-01-21,キーボード,電子機器,5000,10,50000,customer_016
2024-01-21,ボールペン,文房具,150,1,150,customer_017
2024-01-21,ビジネス書,書籍,1800,2,3600,customer_070
2024-01-21,小説,書籍,1500,2,3000,customer_081
2024-01-22,キーボード,電子機器,5000,8,40000,customer_023
2024-01-22,ファイル,文房具,500,10,5000,customer_017
2024-01-22,小説,書籍,1500,1,1500,customer_076
2024-01-23,ビジネス書,書籍,1800,10,18000,customer_010
2024-01-23,技術書,書籍,3500,7,24500,customer_025
2024-01-23,ファイル,文房具,500,6,3000,customer_006
2024-01-23,小説,書籍,1500,8,12000,customer_042
2024-01-23,小説,書籍,1500,8,12000,customer_035
2024-01-24,ボールペン,文房具,150,3,450,customer_009
2024-01-24,技術書,書籍,3500,9,31500,customer_085
2024-01-24,ノートパソコン,電子機器,80000,10,800000,customer_023
2024-01-24,小説,書籍,1500,4,6000,customer_046
2024-01-24,技術書,書籍,3500,3,10500,customer_085
2024-01-25,小説,書籍,1500,5,7500,customer_097
2024-01-25,ボールペン,文房具,150,6,900,customer_066
2024-01-25,ビジネス書,書籍,1800,1,1800,customer_019
2024-01-25,ファイル,文房具,500,5,2500,customer_046
2024-01-26,ファイル,文房具,500,6,3000,customer_077
2024-01-26,ファイル,文房具,500,1,500,customer_024
2024-01-26,マウス,電子機器,2000,10,20000,customer_021
2024-01-27,ノートパソコン,電子機器,80000,6,480000,customer_038
2024-01-27,ノート,文房具,300,1,300,customer_079
2024-01-27,小説,書籍,1500,10,15000,customer_020
2024-01-27,ノート,文房具,300,2,600,customer_043
2024-01-28,ノートパソコン,電子機器,80000,7,560000,customer_047
2024-01-28,キーボード,電子機器,5000,1,5000,customer_078
2024-01-28,キーボード,電子機器,5000,9,45000,customer_020
2024-01-29,キーボード,電子機器,5000,5,25000,customer_036
2024-01-29,ビジネス書,書籍,1800,10,18000,customer_059
2024-01-29,マウス,電子機器,2000,3,6000,customer_011
2024-01-29,キーボード,電子機器,5000,4,20000,customer_052
2024-01-30,マウス,電子機器,2000,9,18000,customer_066
2024-01-30,キーボード,電子機器,5000,10,50000,customer_013
2024-01-30,技術書,書籍,3500,1,3500,customer_009
2024-01-31,ノート,文房具,300,10,3000,customer_076
2024-01-31,マウス,電子機器,2000,5,10000,customer_004
2024-01-31,ノートパソコン,電子機器,80000,7,560000,customer_078
2024-01-31,小説,書籍,1500,4,6000,customer_069
2024-01-31,マウス,電子機器,2000,6,12000,customer_012
2024-02-01,ボールペン,文房具,150,6,900,customer_045
2024-02-01,ボールペン,文房具,150,10,1500,customer_062
2024-02-01,ノートパソコン,電子機器,80000,10,800000,customer_005
2024-02-02,ボールペン,文房具,150,10,1500,customer_001
2024-02-02,ノート,文房具,300,6,1800,customer_035
2024-02-02,小説,書籍,1500,5,7500,customer_054
2024-02-02,小説,書籍,1500,8,12000,customer_073
2024-02-03,ノートパソコン,電子機器,80000,1,80000,customer_092
2024-02-03,キーボード,電子機器,5000,4,20000,customer_100
2024-02-03,ボールペン,文房具,150,2,300,customer_020
2024-02-03,キーボード,電子機器,5000,9,45000,customer_047
2024-02-03,小説,書籍,1500,10,15000,customer_076
2024-02-04,ボールペン,文房具,150,6,900,customer_020
2024-02-04,技術書,書籍,3500,3,10500,customer_016
2024-02-04,ファイル,文房具,500,4,2000,customer_069
2024-02-04,ビジネス書,書籍,1800,2,3600,customer_033
2024-02-05,ボールペン,文房具,150,7,1050,customer_043
2024-02-05,マウス,電子機器,2000,9,18000,customer_067
2024-02-05,ノートパソコン,電子機器,80000,2,160000,customer_027
2024-02-06,ボールペン,文房具,150,3,450,customer_099
2024-02-06,ビジネス書,書籍,1800,2,3600,customer_094
2024-02-06,ノート,文房具,300,9,2700,customer_027
2024-02-06,ビジネス書,書籍,1800,9,16200,customer_089
2024-02-06,技術書,書籍,3500,2,7000,customer_075
2024-02-07,技術書,書籍,3500,8,28000,customer_083
2024-02-07,ビジネス書,書籍,1800,10,18000,customer_050
2024-02-07,ノート,文房具,300,2,600,customer_037
2024-02-07,キーボード,電子機器,5000,7,35000,customer_064
2024-02-07,ノートパソコン,電子機器,80000,2,160000,customer_019
2024-02-08,キーボード,電子機器,5000,4,20000,customer_069
2024-02-08,ファイル,文房具,500,7,3500,customer_014
2024-02-08,キーボード,電子機器,5000,5,25000,customer_075
2024-02-08,ノート,文房具,300,6,1800,customer_042
2024-02-09,キーボード,電子機器,5000,10,50000,customer_049
2024-02-09,ボールペン,文房具,150,8,1200,customer_070
2024-02-09,小説,書籍,1500,1,1500,customer_074
2024-02-09,ノートパソコン,電子機器,80000,7,560000,customer_005
2024-02-09,ノート,文房具,300,10,3000,customer_055
2024-02-10,小説,書籍,1500,3,4500,customer_012
2024-02-10,技術書,書籍,3500,9,31500,customer_008
2024-02-10,ボールペン,文房具,150,7,1050,customer_023
2024-02-10,ビジネス書,書籍,1800,5,9000,customer_044
2024-02-10,技術書,書籍,3500,10,35000,customer_078
2024-02-11,ノートパソコン,電子機器,80000,3,240000,customer_093
2024-02-11,ビジネス書,書籍,1800,3,5400,customer_049
2024-02-11,小説,書籍,1500,4,6000,customer_022
2024-02-12,小説,書籍,1500,3,4500,customer_067
2024-02-12,キーボード,電子機器,5000,6,30000,customer_099
2024-02-12,技術書,書籍,3500,10,35000,customer_030
2024-02-12,ノート,文房具,300,7,2100,customer_057
2024-02-13,技術書,書籍,3500,5,17500,customer_009
2024-02-13,キーボード,電子機器,5000,1,5000,customer_005
2024-02-13,小説,書籍,1500,3,4500,customer_051
2024-02-14,ノートパソコン,電子機器,80000,7,560000,customer_071
2024-02-14,技術書,書籍,3500,4,14000,customer_024
2024-02-14,ノート,文房具,300,8,2400,customer_066
2024-02-14,ビジネス書,書籍,1800,1,1800,customer_054
2024-02-14,ファイル,文房具,500,9,4500,customer_036
2024-02-15,ボールペン,文房具,150,10,1500,customer_029
2024-02-15,ボールペン,文房具,150,8,1200,customer_078
2024-02-15,ビジネス書,書籍,1800,2,3600,customer_076
2024-02-16,ファイル,文房具,500,5,2500,customer_003
2024-02-16,技術書,書籍,3500,1,3500,customer_015
2024-02-16,キーボード,電子機器,5000,1,5000,customer_014
2024-02-16,小説,書籍,1500,8,12000,customer_043
2024-02-16,ビジネス書,書籍,1800,3,5400,customer_038
2024-02-17,技術書,書籍,3500,2,7000,customer_005
2024-02-17,小説,書籍,1500,9,13500,customer_064
2024-02-17,ビジネス書,書籍,1800,8,14400,customer_025
2024-02-17,ノート,文房具,300,4,1200,customer_039
2024-02-17,マウス,電子機器,2000,8,16000,customer_089
2024-02-18,ファイル,文房具,500,8,4000,customer_029
2024-02-18,ボールペン,文房具,150,7,1050,customer_030
2024-02-18,マウス,電子機器,2000,10,20000,customer_088
2024-02-19,技術書,書籍,3500,9,31500,customer_082
2024-02-19,ノートパソコン,電子機器,80000,5,400000,customer_045
2024-02-19,技術書,書籍,3500,6,21000,customer_012
2024-02-19,ボールペン,文房具,150,5,750,customer_040
2024-02-20,キーボード,電子機器,5000,4,20000,customer_015
2024-02-20,小説,書籍,1500,1,1500,customer_081
2024-02-20,マウス,電子機器,2000,9,18000,customer_055
2024-02-21,キーボード,電子機器,5000,9,45000,customer_018
2024-02-21,マウス,電子機器,2000,10,20000,customer_078
2024-02-21,ノートパソコン,電子機器,80000,3,240000,customer_023
2024-02-21,ビジネス書,書籍,1800,10,18000,customer_050
2024-02-22,マウス,電子機器,2000,8,16000,customer_050
2024-02-22,マウス,電子機器,2000,4,8000,customer_012
2024-02-22,キーボード,電子機器,5000,7,35000,customer_035
2024-02-23,キーボード,電子機器,5000,10,50000,customer_055
2024-02-23,小説,書籍,1500,9,13500,customer_027
2024-02-23,ノートパソコン,電子機器,80000,1,80000,customer_048
2024-02-24,ファイル,文房具,500,2,1000,customer_045
2024-02-24,ビジネス書,書籍,1800,10,18000,customer_034
2024-02-24,小説,書籍,1500,7,10500,customer_074
2024-02-24,ノートパソコン,電子機器,80000,7,560000,customer_037
2024-02-24,小説,書籍,1500,2,3000,customer_072
2024-02-25,技術書,書籍,3500,4,14000,customer_008
2024-02-25,小説,書籍,1500,3,4500,customer_099
2024-02-25,ノートパソコン,電子機器,80000,7,560000,customer_002
2024-02-25,ビジネス書,書籍,1800,1,1800,customer_006
2024-02-25,ボールペン,文房具,150,6,900,customer_001
2024-02-26,キーボード,電子機器,5000,4,20000,customer_045
2024-02-26,マウス,電子機器,2000,1,2000,customer_029
2024-02-26,キーボード,電子機器,5000,7,35000,customer_027
2024-02-26,小説,書籍,1500,2,3000,customer_010
2024-02-27,ファイル,文房具,500,8,4000,customer_042
2024-02-27,マウス,電子機器,2000,2,4000,customer_051
2024-02-27,マウス,電子機器,2000,10,20000,customer_004
2024-02-27,小説,書籍,1500,6,9000,customer_090
2024-02-27,ファイル,文房具,500,4,2000,customer_039
2024-02-28,小説,書籍,1500,4,6000,customer_023
2024-02-28,マウス,電子機器,2000,3,6000,customer_078
2024-02-28,小説,書籍,1500,5,7500,customer_019
2024-02-28,ノートパソコン,電子機器,80000,3,240000,customer_030
2024-02-29,キーボード,電子機器,5000,7,35000,customer_070
2024-02-29,マウス,電子機器,2000,10,20000,customer_097
2024-02-29,小説,書籍,1500,3,4500,customer_023
2024-02-29,技術書,書籍,3500,8,28000,customer_070
2024-02-29,ボールペン,文房具,150,3,450,customer_010
2024-03-01,ノートパソコン,電子機器,80000,6,480000,customer_015
2024-03-01,技術書,書籍,3500,3,10500,customer_098
2024-03-01,ノート,文房具,300,1,300,customer_050
2024-03-01,キーボード,電子機器,5000,8,40000,customer_067
2024-03-02,技術書,書籍,3500,7,24500,customer_045
2024-03-02,ノート,文房具,300,1,300,customer_067
2024-03-02,マウス,電子機器,2000,10,20000,customer_020
2024-03-03,ノート,文房具,300,2,600,customer_100
2024-03-03,マウス,電子機器,2000,9,18000,customer_028
2024-03-03,キーボード,電子機器,5000,8,40000,customer_044
2024-03-03,ノートパソコン,電子機器,80000,9,720000,customer_010
2024-03-04,ファイル,文房具,500,8,4000,customer_025
2024-03-04,小説,書籍,1500,8,12000,customer_027
2024-03-04,キーボード,電子機器,5000,10,50000,customer_079
2024-03-04,ボールペン,文房具,150,6,900,customer_009
2024-03-05,ノート,文房具,300,10,3000,customer_003
2024-03-05,技術書,書籍,3500,9,31500,customer_082
2024-03-05,技術書,書籍,3500,4,14000,customer_079
2024-03-05,ノートパソコン,電子機器,80000,2,160000,customer_088
2024-03-05,マウス,電子機器,2000,3,6000,customer_046
2024-03-06,ボールペン,文房具,150,5,750,customer_078
2024-03-06,ビジネス書,書籍,1800,7,12600,customer_068
2024-03-06,技術書,書籍,3500,10,35000,customer_007
2024-03-07,小説,書籍,1500,9,13500,customer_012
2024-03-07,技術書,書籍,3500,10,35000,customer_093
2024-03-07,ビジネス書,書籍,1800,4,7200,customer_036
2024-03-08,キーボード,電子機器,5000,5,25000,customer_064
2024-03-08,キーボード,電子機器,5000,5,25000,customer_037
2024-03-08,小説,書籍,1500,6,9000,customer_005
2024-03-09,ノート,文房具,300,10,3000,customer_079
2024-03-09,ファイル,文房具,500,5,2500,customer_038
2024-03-09,ボールペン,文房具,150,6,900,customer_055
2024-03-09,ビジネス書,書籍,1800,1,1800,customer_046
2024-03-09,ノート,文房具,300,3,900,customer_024
2024-03-10,ファイル,文房具,500,8,4000,customer_062
2024-03-10,ボールペン,文房具,150,4,600,customer_023
2024-03-10,ボールペン,文房具,150,10,1500,customer_041
2024-03-10,ボールペン,文房具,150,6,900,customer_066
2024-03-11,ビジネス書,書籍,1800,3,5400,customer_038
2024-03-11,ボールペン,文房具,150,1,150,customer_002
2024-03-11,小説,書籍,1500,8,12000,customer_042
2024-03-11,ノート,文房具,300,1,300,customer_090
2024-03-11,ビジネス書,書籍,1800,2,3600,customer_049
2024-03-12,ファイル,文房具,500,7,3500,customer_089
2024-03-12,技術書,書籍,3500,10,35000,customer_066
2024-03-12,ボールペン,文房具,150,2,300,customer_088
2024-03-12,ファイル,文房具,500,1,500,customer_056
2024-03-13,ノート,文房具,300,3,900,customer_099
2024-03-13,マウス,電子機器,2000,1,2000,customer_074
2024-03-13,キーボード,電子機器,5000,9,45000,customer_025
2024-03-13,キーボード,電子機器,5000,2,10000,customer_064
2024-03-13,ファイル,文房具,500,8,4000,customer_005
2024-03-14,ノート,文房具,300,1,300,customer_016
2024-03-14,ボールペン,文房具,150,3,450,customer_082
2024-03-14,技術書,書籍,3500,6,21000,customer_078
2024-03-14,技術書,書籍,3500,7,24500,customer_089
2024-03-15,ボールペン,文房具,150,5,750,customer_058
2024-03-15,ビジネス書,書籍,1800,4,7200,customer_085
2024-03-15,ボールペン,文房具,150,6,900,customer_036
2024-03-15,ノート,文房具,300,9,2700,customer_065
2024-03-15,ノートパソコン,電子機器,80000,7,560000,customer_015
2024-03-16,ボールペン,文房具,150,3,450,customer_008
2024-03-16,小説,書籍,1500,10,15000,customer_040
2024-03-16,ノート,文房具,300,10,3000,customer_062
2024-03-16,ボールペン,文房具,150,2,300,customer_001
2024-03-17,技術書,書籍,3500,5,17500,customer_009
2024-03-17,ビジネス書,書籍,1800,10,18000,customer_021
2024-03-17,技術書,書籍,3500,6,21000,customer_079
2024-03-18,ファイル,文房具,500,10,5000,customer_015
2024-03-18,ビジネス書,書籍,1800,7,12600,customer_072
2024-03-18,小説,書籍,1500,7,10500,customer_085
2024-03-18,マウス,電子機器,2000,5,10000,customer_044
2024-03-18,マウス,電子機器,2000,7,14000,customer_006
2024-03-19,マウス,電子機器,2000,7,14000,customer_100
2024-03-19,ビジネス書,書籍,1800,3,5400,customer_014
2024-03-19,ボールペン,文房具,150,6,900,customer_072
2024-03-19,ファイル,文房具,500,10,5000,customer_017
2024-03-19,ファイル,文房具,500,7,3500,customer_095
2024-03-20,ノート,文房具,300,6,1800,customer_097
2024-03-20,ボールペン,文房具,150,7,1050,customer_042
2024-03-20,ファイル,文房具,500,8,4000,customer_016
2024-03-20,技術書,書籍,3500,2,7000,customer_093
2024-03-20,ビジネス書,書籍,1800,9,16200,customer_098
2024-03-21,キーボード,電子機器,5000,1,5000,customer_066
2024-03-21,小説,書籍,1500,4,6000,customer_034
2024-03-21,技術書,書籍,3500,6,21000,customer_085
2024-03-21,ノート,文房具,300,3,900,customer_017
2024-03-21,技術書,書籍,3500,2,7000,customer_096
2024-03-22,マウス,電子機器,2000,2,4000,customer_049
2024-03-22,ノート,文房具,300,2,600,customer_019
2024-03-22,ノートパソコン,電子機器,80000,9,720000,customer_092
2024-03-22,技術書,書籍,3500,6,21000,customer_088
2024-03-22,マウス,電子機器,2000,3,6000,customer_016
2024-03-23,技術書,書籍,3500,2,7000,customer_046
2024-03-23,ノート,文房具,300,2,600,customer_038
2024-03-23,技術書,書籍,3500,7,24500,customer_030
2024-03-23,ファイル,文房具,500,1,500,customer_048
2024-03-23,キーボード,電子機器,5000,5,25000,customer_039
2024-03-24,ノート,文房具,300,8,2400,customer_052
2024-03-24,ボールペン,文房具,150,3,450,customer_045
2024-03-24,小説,書籍,1500,2,3000,customer_059
2024-03-25,技術書,書籍,3500,10,35000,customer_031
2024-03-25,ノートパソコン,電子機器,80000,9,720000,customer_055
2024-03-25,ノート,文房具,300,5,1500,customer_022
2024-03-25,ビジネス書,書籍,1800,6,10800,customer_054
2024-03-25,ファイル,文房具,500,8,4000,customer_095
2024-03-26,ビジネス書,書籍,1800,10,18000,customer_075
2024-03-26,小説,書籍,1500,5,7500,customer_076
2024-03-26,ノート,文房具,300,2,600,customer_026
2024-03-26,ノート,文房具,300,10,3000,customer_039
2024-03-27,ビジネス書,書籍,1800,10,18000,customer_050
2024-03-27,ノートパソコン,電子機器,80000,6,480000,customer_068
2024-03-27,キーボード,電子機器,5000,2,10000,customer_046
2024-03-28,ファイル,文房具,500,8,4000,customer_078
2024-03-28,ボールペン,文房具,150,1,150,customer_092
2024-03-28,キーボード,電子機器,5000,3,15000,customer_062
2024-03-28,小説,書籍,1500,7,10500,customer_054
2024-03-29,キーボード,電子機器,5000,1,5000,customer_018
2024-03-29,キーボード,電子機器,5000,1,5000,customer_024
2024-03-29,ボールペン,文房具,150,4,600,customer_044
2024-03-30,ファイル,文房具,500,3,1500,customer_088
2024-03-30,小説,書籍,1500,9,13500,customer_063
2024-03-30,ボールペン,文房具,150,9,1350,customer_036
2024-03-30,ビジネス書,書籍,1800,1,1800,customer_052
2024-03-31,小説,書籍,1500,8,12000,customer_005
2024-03-31,ファイル,文房具,500,1,500,customer_025
2024-03-31,ノート,文房具,300,9,2700,customer_097
2024-04-01,ボールペン,文房具,150,10,1500,customer_061
2024-04-01,キーボード,電子機器,5000,10,50000,customer_040
2024-04-01,ビジネス書,書籍,1800,5,9000,customer_007
2024-04-01,キーボード,電子機器,5000,6,30000,customer_090
2024-04-01,小説,書籍,1500,7,10500,customer_087
2024-04-02,マウス,電子機器,2000,7,14000,customer_084
2024-04-02,ノート,文房具,300,10,3000,customer_033
2024-04-02,キーボード,電子機器,5000,1,5000,customer_099
2024-04-02,小説,書籍,1500,2,3000,customer_012
2024-04-03,ファイル,文房具,500,9,4500,customer_042
2024-04-03,ボールペン,文房具,150,10,1500,customer_087
2024-04-03,ファイル,文房具,500,1,500,customer_069
2024-04-03,技術書,書籍,3500,1,3500,customer_050
2024-04-03,ボールペン,文房具,150,3,450,customer_046
2024-04-04,ボールペン,文房具,150,1,150,customer_028
2024-04-04,技術書,書籍,3500,4,14000,customer_029
2024-04-04,ノートパソコン,電子機器,80000,9,720000,customer_009
2024-04-04,ノートパソコン,電子機器,80000,8,640000,customer_071
2024-04-04,ノートパソコン,電子機器,80000,4,320000,customer_082
2024-04-05,ノートパソコン,電子機器,80000,5,400000,customer_042
2024-04-05,ボールペン,文房具,150,6,900,customer_035
2024-04-05,キーボード,電子機器,5000,7,35000,customer_003
2024-04-05,技術書,書籍,3500,2,7000,customer_055
2024-04-05,ボールペン,文房具,150,1,150,customer_063
2024-04-06,キーボード,電子機器,5000,4,20000,customer_028
2024-04-06,ビジネス書,書籍,1800,3,5400,customer_033
2024-04-06,マウス,電子機器,2000,3,6000,customer_057
2024-04-06,ビジネス書,書籍,1800,3,5400,customer_035
2024-04-07,キーボード,電子機器,5000,9,45000,customer_053
2024-04-07,マウス,電子機器,2000,5,10000,customer_007
2024-04-07,小説,書籍,1500,1,1500,customer_045
2024-04-07,ノートパソコン,電子機器,80000,1,80000,customer_090
2024-04-07,ファイル,文房具,500,7,3500,customer_055
2024-04-08,技術書,書籍,3500,5,17500,customer_022
2024-04-08,技術書,書籍,3500,8,28000,customer_019
2024-04-08,ノート,文房具,300,7,2100,customer_055
2024-04-08,キーボード,電子機器,5000,2,10000,customer_040
2024-04-09,ノートパソコン,電子機器,80000,5,400000,customer_064
2024-04-09,ボールペン,文房具,150,9,1350,customer_042
2024-04-09,ビジネス書,書籍,1800,2,3600,customer_058
2024-04-09,技術書,書籍,3500,1,3500,customer_077
2024-04-10,ノートパソコン,電子機器,80000,7,560000,customer_079
2024-04-10,ノートパソコン,電子機器,80000,4,320000,customer_018
2024-04-10,ビジネス書,書籍,1800,1,1800,customer_037
2024-04-10,ノートパソコン,電子機器,80000,6,480000,customer_025
2024-04-11,小説,書籍,1500,6,9000,customer_015
2024-04-11,ボールペン,文房具,150,8,1200,customer_055
2024-04-11,ボールペン,文房具,150,10,1500,customer_066
2024-04-11,ビジネス書,書籍,1800,3,5400,customer_091
2024-04-11,ボールペン,文房具,150,4,600,customer_002
2024-04-12,ファイル,文房具,500,8,4000,customer_079
2024-04-12,ノートパソコン,電子機器,80000,6,480000,customer_069
2024-04-12,ビジネス書,書籍,1800,1,1800,customer_099
2024-04-12,技術書,書籍,3500,5,17500,customer_011
2024-04-13,キーボード,電子機器,5000,1,5000,customer_027
2024-04-13,技術書,書籍,3500,9,31500,customer_019
2024-04-13,技術書,書籍,3500,5,17500,customer_095
2024-04-13,ボールペン,文房具,150,7,1050,customer_005
2024-04-14,ノートパソコン,電子機器,80000,10,800000,customer_015
2024-04-14,ボールペン,文房具,150,1,150,customer_087
2024-04-14,ビジネス書,書籍,1800,5,9000,customer_079
2024-04-15,小説,書籍,1500,4,6000,customer_041
2024-04-15,マウス,電子機器,2000,10,20000,customer_024
2024-04-15,キーボード,電子機器,5000,9,45000,customer_006
2024-04-15,ノート,文房具,300,3,900,customer_039
2024-04-16,キーボード,電子機器,5000,3,15000,customer_010
2024-04-16,技術書,書籍,3500,7,24500,customer_094
2024-04-16,ファイル,文房具,500,1,500,customer_054
2024-04-17,ビジネス書,書籍,1800,10,18000,customer_024
2024-04-17,マウス,電子機器,2000,4,8000,customer_090
2024-04-17,ファイル,文房具,500,1,500,customer_017
2024-04-17,ノートパソコン,電子機器,80000,1,80000,customer_055
2024-04-17,マウス,電子機器,2000,5,10000,customer_082
2024-04-18,ビジネス書,書籍,1800,3,5400,customer_042
2024-04-18,キーボード,電子機器,5000,7,35000,customer_094
2024-04-18,ボールペン,文房具,150,2,300,customer_029
2024-04-18,技術書,書籍,3500,7,24500,customer_021
2024-04-18,ボールペン,文房具,150,8,1200,customer_019
2024-04-19,ノート,文房具,300,5,1500,customer_011
2024-04-19,ノート,文房具,300,10,3000,customer_100
2024-04-19,キーボード,電子機器,5000,7,35000,customer_026
2024-04-19,キーボード,電子機器,5000,10,50000,customer_023
2024-04-20,キーボード,電子機器,5000,3,15000,customer_050
2024-04-20,ノートパソコン,電子機器,80000,10,800000,customer_019
2024-04-20,マウス,電子機器,2000,8,16000,customer_040
2024-04-21,ファイル,文房具,500,1,500,customer_075
2024-04-21,技術書,書籍,3500,9,31500,customer_057
2024-04-21,マウス,電子機器,2000,1,2000,customer_014
2024-04-22,ファイル,文房具,500,3,1500,customer_061
2024-04-22,ボールペン,文房具,150,3,450,customer_032
2024-04-22,ボールペン,文房具,150,6,900,customer_001
2024-04-22,小説,書籍,1500,1,1500,customer_001
2024-04-22,マウス,電子機器,2000,4,8000,customer_099
2024-04-23,ビジネス書,書籍,1800,5,9000,customer_056
2024-04-23,ボールペン,文房具,150,1,150,customer_060
2024-04-23,小説,書籍,1500,1,1500,customer_068
2024-04-23,小説,書籍,1500,9,13500,customer_092
2024-04-24,キーボード,電子機器,5000,7,35000,customer_089
2024-04-24,キーボード,電子機器,5000,1,5000,customer_090
2024-04-24,キーボード,電子機器,5000,7,35000,customer_047
2024-04-24,ファイル,文房具,500,7,3500,customer_075
2024-04-24,キーボード,電子機器,5000,6,30000,customer_066
2024-04-25,ノート,文房具,300,4,1200,customer_095
2024-04-25,技術書,書籍,3500,1,3500,customer_050
2024-04-25,ビジネス書,書籍,1800,7,12600,customer_027
2024-04-25,技術書,書籍,3500,8,28000,customer_008
2024-04-25,技術書,書籍,3500,1,3500,customer_037
